SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Breaking Bad,0,10,Fly,2010-05-23
Breaking Bad,3,0,Fly,2010-05-23
Breaking Bad,3,10, fly ,2010-05-23
Breaking Bad,3,10,Untitled Episode,Unknown
Breaking Bad,0,0,Untitled Episode,Unknown
House of the Dragon,1,1,The Heirs of the Dragon,2022-08-21
House of the Dragon,1,1,The Heirs of the Dragon,Unknown
House of the Dragon,0,1,The Heirs of the Dragon,2022-08-21
House of the Dragon,1,0,The Heirs of the Dragon,2022-08-21
House of the Dragon,1,1,the heirs of the dragon,2022-08-21
House of the Dragon,1,1,Untitled Episode,Unknown
House of the Dragon,0,0,Untitled Episode,Unknown
The Bear,1,1,System,2022-06-23
The Bear,1,1,System,Unknown
The Bear,0,1,System,2022-06-23
The Bear,1,0,System,2022-06-23
The Bear,1,1, system ,2022-06-23
The Bear,1,1,Untitled Episode,Unknown
The Bear,0,0,Untitled Episode,Unknown
Lost,1,1,Pilot,2004-09-22
Lost,1,2,Pilot,2004-09-29
Lost,1,0,Pilot,2004-09-22
Lost,0,1,Pilot,2004-09-22
Lost,0,0,Pilot,2004-09-22
Unknown Show,,,,
Another Show, , , ,
Mystery Show,-1,-1,,not a date
One Piece,20,1000,Luffy's Dream,2023-10-20
One Piece,20,1000,Luffy's Dream,Unknown
One Piece,0,1000,Luffy's Dream,2023-10-20
One Piece,20,0,Luffy's Dream,2023-10-20
One Piece,20,1000, luffy's dream ,2023-10-20
